1.86697,+AC0-0.03805,+AC0-20,+AC0-58,+AC0-44,+AC0-51,+AC0-63,+AC0-66,+AC0-79,+AC0-100,+AC0-89,+AC0-74
1.86697,+AC0-0.03805,+AC0-20,+AC0-59,+AC0-44,+AC0-51,+AC0-63,+AC0-67,+AC0-79,+AC0-100,+AC0-89,+AC0-74
1.86697,+AC0-0.03805,+AC0-50,+AC0-40,+AC0-45,+AC0-51,+AC0-64,+AC0-67,+AC0-78,+AC0-100,+AC0-87,+AC0-74
1.86697,+AC0-0.03805,+AC0-20,+AC0-49,+AC0-44,+AC0-52,+AC0-63,+AC0-67,+AC0-79,+AC0-86,+AC0-89,+AC0-74
1.86697,+AC0-0.03805,+AC0-20,+AC0-60,+AC0-45,+AC0-51,+AC0-63,+AC0-68,+AC0-78,+AC0-86,+AC0-89,+AC0-74
1.86697,+AC0-0.03805,+AC0-20,+AC0-63,+AC0-44,+AC0-52,+AC0-62,+AC0-67,+AC0-79,+AC0-86,+AC0-88,+AC0-75
1.86697,+AC0-0.03805,+AC0-20,+AC0-59,+AC0-44,+AC0-51,+AC0-62,+AC0-67,+AC0-79,+AC0-86,+AC0-88,+AC0-74
1.86697,+AC0-0.03805,+AC0-59,+AC0-60,+AC0-44,+AC0-52,+AC0-63,+AC0-66,+AC0-79,+AC0-86,+AC0-89,+AC0-74
1.86697,+AC0-0.03805,+AC0-20,+AC0-60,+AC0-44,+AC0-52,+AC0-63,+AC0-67,+AC0-79,+AC0-100,+AC0-89,+AC0-74
1.86697,+AC0-0.03805,+AC0-20,+AC0-62,+AC0-44,+AC0-52,+AC0-62,+AC0-68,+AC0-79,+AC0-100,+AC0-88,+AC0-74
1.86697,+AC0-0.03805,+AC0-20,+AC0-62,+AC0-45,+AC0-52,+AC0-62,+AC0-67,+AC0-79,+AC0-100,+AC0-88,+AC0-74
1.86697,+AC0-0.03805,+AC0-20,+AC0-62,+AC0-45,+AC0-52,+AC0-63,+AC0-67,+AC0-80,+AC0-100,+AC0-88,+AC0-74
1.86697,+AC0-0.03805,+AC0-20,+AC0-60,+AC0-44,+AC0-53,+AC0-62,+AC0-66,+AC0-80,+AC0-100,+AC0-62,+AC0-74
1.86697,+AC0-0.03805,+AC0-20,+AC0-61,+AC0-44,+AC0-52,+AC0-63,+AC0-66,+AC0-80,+AC0-100,+AC0-87,+AC0-74
